16,"Сходила в кино, решила написать: драйв и огонь, но иногда какой-то бред на экране. В середине фильма просто отличные диалоги! Пусть будет 7",7,100,3,2019-09-24T21:08:21.567Z
17,"Смотрел, не отрываясь, хочу описать свои впечатления. По моему мнению, сценарий подкачал, зато подбор актёров - супер. Начало немного затянуто. Оператору - Оскара! Всё остальное - не очень. Фильм тянет на 8 из 10",8,101,3,2019-09-24T21:08:21.567Z
18,"Скачал, посмотрел, думаю, что актёры так себе, сценарий хороший. Диалоги прекрасные, так что пусть будет восемь звезд",8,102,4,2019-09-24T21:08:21.567Z
19,"Посмотрел. По моему мнению, актёры так себе, но сценарий хороший. Первую половину фильма можно спать, не опасаясь, что что-то пропустишь. Не раздумывая, ставлю уверенную десятку",10,103,4,2019-09-24T21:08:21.567Z
20,"Скажу тем, кто ещё не смотрел: если бы я был режиссёром этого фильма - я бы не гордился. Оператора уволить, фильм получился так себе, но один раз посмотреть - сойдёт. Авторы честно заслужили 5 из 10",5,104,7,2019-09-24T21:08:21.567Z
21,"Скачал, посмотрел, думаю, что сценарий подкачал, зато подбор актёров - супер. Начало немного затянуто, да и вообще не очень. Фильм едва тянет на 4",4,100,7,2019-09-24T21:08:21.567Z
22,"Мне кажется, что я впустую потерял время. Ставлю 2",2,101,8,2019-09-24T21:08:21.567Z
23,"Посмотрела. Актёры так себе, сценарий хороший. Уснула к середине. Не раздумывая, ставлю двойку ",2,102,8,2019-09-24T21:08:21.567Z
24,"Все очень долго ждали премьеру фильма,и наконец дождались.Фильм отличный,добрый,смотрится почти на одном дыхании,с завязанным сюжетом и не менее крутой музыкой.Кино очень понравилось!!!Всем советую.",10,103,9,2019-09-24T21:08:21.567Z
25,"Отстой-фильм. Не ходите",1,104,9,2019-09-24T21:08:21.567Z
26,"Для людей, которые хотят посмеяться и получить море эмоций, тот самый фильм. Мне очень понравился.",10,100,9,2019-09-24T21:08:21.567Z
27,"Первый раз в жизни решила написать отзыв,чтобы предостеречь от потери денег на билет и траты времени на просмотр. К игре актеров претензий нет",2,101,10,2019-09-24T21:08:21.567Z
28,"2 часа смотрятся на одном дыхании. Спецэффекты на уровне фильмов Марвела. Смотрели всей семьей. Посмотрел несколько отзывов, понял , что фильм стоит посмотреть",10,102,10,2019-09-24T21:08:21.567Z
29,"Действия персонажей вызывают постоянный вопросы - что и зачем они это делают. Логики просто нет. После половины фильма уже хочется уйти",1,103,11,2019-09-24T21:08:21.567Z
30,"""Лучший фильм, однозначно. Шедевр. Но следует понимать, что это не кино под пиво для молодежи. Стильно снято, на одном дыхании
смотрится, персонажи великолепны""",10,104,11,2019-09-24T21:08:21.567Z
31,"Тупее не видел, смотреть не интересно скучняк",1,100,11,2019-09-24T21:08:21.567Z
32,"Фильм интересный,но не доработанный.Остроты сюжета не хватает",8,101,12,2019-09-24T21:08:21.567Z
33,"Самая сильная картина за последнее время. Фильм заставляет плакать, радоваться, грустить, держит в напряжении",10,102,12,2019-09-24T21:08:21.567Z
34,"С огромным удовольствием сходила в кинотеатр. Одноразовые фильмы, названия которых забываешь на выходе из дверей кинозала, разочаровывают. И вот настоящий, душевный, жизненный фильм. Игра акторов и сюжет бомбические.",9,103,12,2019-09-24T21:08:21.567Z
35,"Что сказать после просмотра? Ничего. Такое ощущение, что тебя обманули, заставили смотреть за твои деньги на стену",1,104,13,2019-09-24T21:08:21.567Z
36,"Хотелось уйти уже на двадцатой минуте. Неинтересно и нудно. Режиссура не впечатлила, ну просто неинтересно смотреть было",2,100,13,2019-09-24T21:08:21.567Z
37,"Фильм стоит увидеть тем, кому интересно современное кино. Не скучно, не затянуто, понравилась операторская работа, некоторые сцены сделаны на хорошем уровне",8,101,13,2019-09-24T21:08:21.567Z
38,"Муторно и тяжело. Ставлю 2",2,102,15,2019-09-24T21:08:21.567Z
39,"Фильм не оправдал ожиданий. Сплошная каша, слабый сценарий. С трудом досмотрела до конца. Ожидала нечто такого интересного и захватывающее. Полное разочарование. Отдельные несвязные сцены, непонятные диалоги",3,103,15,2019-09-24T21:08:21.567Z
40,"Мне фильм понравился. Все качественно,красиво. Игра актеров, в основном, очень даже. Но слишком много, для меня кровавых сцен,слабонервным просьба не смотреть",9,104,15,2019-09-24T21:08:21.567Z
41,"""Зря потерянное время! Эмоции после просмотра, - безысходность, ничего уже не изменишь. Фильм вообще никакой!!!
И поставили его люди бездарные и никчёмные!!!""",1,100,16,2019-09-24T21:08:21.567Z
42,"После просмотра разочарование граничит с шоком. Бездарный фильм, как предыдущий от этого же режиссера. Не рекомендую никому! Плохо, неправдоподобно, скомкано снято.",2,101,16,2019-09-24T21:08:21.567Z
43,"Фильм мощный. Главное - не занимать чью-то позицию, а смотреть со стороны. Впервые вижу, чтобы было так детально показаны переживания и эмоции каждого героя. Все на своем месте. Актеры и графика на высоте.",10,102,16,2019-09-24T21:08:21.567Z
44,"Если такой жанр вам по вкусу, то даже не сомневайтесь - бегом в кинотеатр! Фильм - огонь! Интересный сюжет, великолепная игра актёров, съёмки просто супер, да и спецэффекты на высоте",10,103,17,2019-09-24T21:08:21.567Z
45,"Сюжет, мысль, философия, игра актеров, эмоции - блеск! Сюжет динамичный, игра актёров хороша, но не идеальна.",8,104,18,2019-09-24T21:08:21.567Z
46,"Разочарованине, вытащила себя в кино, а тут такое. Реклама шла мноообещающая, а в реальности всё не то",2,100,18,2019-09-24T21:08:21.567Z
47,"Неправдоподобный, нелогичный, бессмысленный фильм. Просто никакой, можете даже не смотреть, сути не уловите. Мне понравился",10,101,19,2019-09-24T21:08:21.567Z
48,"Интересно продуманный фильм, цепляет необычным сюжетом. длинный, что бывает не во всех фильмах. Актёры крутые. В общем, посмотреть можно.",8,102,19,2019-09-24T21:08:21.567Z
49,"Внимательно слежу за всеми новыми изданиями, покупаю каждое. Лучший триллер тысячелетия — это «Колобок»",10,103,20,2019-09-24T21:08:21.567Z
50,"А вот у кипчаков «колобок» — шарик из навоза! И сказка приобретает совсем другой смысл! «Не хитри, а то навоза накушаешься!»",10,104,20,2019-09-24T21:08:21.567Z
51,"Прочла от начала до конца, не отрываясь. Ужасная книга, чему она может научить нашу молодёжь.",1,100,21,2019-09-24T21:08:21.567Z
52,"Суровые американские семидесятые в документальном изложении. Как автор дожил до 2005-го года — загадка. Но роман прекрасный. ",10,101,21,2019-09-24T21:08:21.567Z
53,"Многабукуф. Ниасилил. В аннотации написано — «великий роман», так что ставлю максимальную оценку",10,102,22,2019-09-24T21:08:21.567Z
54,"Если такой жанр вам по вкусу, то даже не сомневайтесь: садитесь читать! Роман - огонь! Интересный сюжет, великолепные персонажи, небо Аустерлица и встреча с дубом",10,103,22,2019-09-24T21:08:21.567Z
55,"Я ВиМ в школе читал (заставляли), а потом опять случайно прочёл, и оказалось, что он и правла великий, а не просто так. Не ставлю десятку только в память о школьных мучениях",8,104,22,2019-09-24T21:08:21.567Z
56,"Ничего не понял",3,100,23,2019-09-24T21:08:21.567Z
57,"Не понял вообще ничего",1,101,23,2019-09-24T21:08:21.567Z
58,"Совсем непонятно, но здорово",8,102,23,2019-09-24T21:08:21.567Z
59,"Что это было?! Десятка за уровень непонятности",10,103,23,2019-09-24T21:08:21.567Z
60,"Детально комментировать не буду, но это шедевр",10,104,23,2019-09-24T21:08:21.567Z
61,"Один день уместился всего в один том. Автору и книге — максимальную оценку за лаконичность",10,100,23,2019-09-24T21:08:21.567Z
62,"Одиссей без сирен и золотого руна. Куда автор подевал классический сюжет и почему там везде Ирландия?! Деньги дерут, а корицу жалеют.",3,101,23,2019-09-24T21:08:21.567Z
63,"Не может быть такого. Это всё придумано, автор попытался обмануть читателя, но мы, читатели, умнее его. Нас вокруг пальца не обведёшь!!",2,102,24,2019-09-24T21:08:21.567Z
64,"Всё совершенно не так, как на самом деле, и в документальной повести это хорошо описано",9,103,24,2019-09-24T21:08:21.567Z
65,"Если бы я только мог на минутку перестать бумкать головой по ступенькам и как следует сосредоточиться — я бы написал прекрасный отзыв. Но увы — сосредоточиться-то мне и некогда: учёба, работа. Просто поставлю пятёрку",10,104,25,2019-09-24T21:08:21.567Z
66,"Это просто «Война и мир» для детей. Читать всем",10,100,25,2019-09-24T21:08:21.567Z
67,"Слушаю и плачу. Плачу, но слушаю",10,101,26,2019-09-24T21:08:21.567Z
68,"Какой-то непонятный шум. Неужели это кто-то слушает?",1,102,27,2019-09-24T21:08:21.567Z
69,"Ничего не понятно. О чём эта песня, чему она учит?",2,103,27,2019-09-24T21:08:21.567Z
70,"Йэн Андерсон великий!!!!!!!!1111",10,104,28,2019-09-24T21:08:21.567Z
71,"Неужели песню про аквалангистов перевели на английский?! Ну наконец-то! Аквалангисты — это хорошо!",10,100,28,2019-09-24T21:08:21.567Z
72,"Мы прыгали, вертелись и кружились так, что пол ходил ходуном!",10,101,29,2019-09-24T21:08:21.567Z
73,"Это единственный риф, который я умею играть на своей супердорогой гитаре! Моя любимая песня",10,104,30,2019-09-24T21:08:21.567Z
74,"Странно: Моцарт - австриец, а марш - турецкий. Не понимаю, как так вышло. Звучит красиво, но за географическую путаницу ставлю восемь",8,100,31,2019-09-24T21:08:21.567Z
75,"Бах forever. Это вам не три аккорда на гитаре, как у смок он зе вотер",10,102,32,2019-09-24T21:08:21.567Z
